payment_id,customer_id,amount,currency,payment_method,status,failure_reason,retry_count,created_at
pay_100028,cust_1001,11087,INR,netbanking,pending,network_timeout,1,2026-08-29T16:59:55.935848
pay_100029,cust_1020,1776,INR,upi,success,,0,2026-08-22T02:10:55.935848
pay_100030,cust_1006,16285,INR,wallet,pending,network_timeout,0,2026-08-09T03:43:55.935848
pay_100031,cust_1036,35411,INR,upi,failed,bank_declined,1,2026-08-27T04:50:55.935848
pay_100032,cust_1014,35081,INR,upi,pending,network_timeout,2,2026-08-24T19:52:55.935848
pay_100033,cust_1024,20928,INR,wallet,failed,unknown,2,2026-09-04T03:32:55.935848
pay_100034,cust_1015,30088,INR,card,success,,1,2026-08-16T20:28:55.935848
pay_100035,cust_1015,1878,INR,upi,pending,network_timeout,0,2026-08-30T18:43:55.935848
pay_100036,cust_1005,5152,INR,card,success,,1,2026-08-15T23:45:55.935848
pay_100037,cust_1018,5143,INR,wallet,pending,network_timeout,0,2026-08-16T09:39:55.935848
pay_100038,cust_1037,35839,INR,wallet,failed,unknown,0,2026-08-31T13:25:55.935848
pay_100039,cust_1007,31496,INR,wallet,failed,bank_declined,1,2026-08-09T20:43:55.935848
pay_100040,cust_1044,28259,INR,card,failed,card_expired,0,2026-08-08T00:52:55.935848
pay_100041,cust_1013,26886,INR,upi,failed,insufficient_funds,2,2026-08-16T21:17:55.935848
pay_100042,cust_1018,29900,INR,wallet,failed,card_expired,0,2026-08-13T22:07:55.935848
pay_100043,cust_1004,5440,INR,card,failed,limit_exceeded,0,2026-08-10T00:38:55.935848
pay_100044,cust_1032,49885,INR,wallet,failed,bank_declined,0,2026-08-24T01:36:55.935848
pay_100045,cust_1025,26782,INR,card,success,,1,2026-08-13T01:31:55.935848
pay_100046,cust_1045,17880,INR,wallet,failed,network_timeout,0,2026-08-24T19:44:55.935848
pay_100047,cust_1038,12945,INR,card,failed,bank_declined,2,2026-08-08T05:34:55.935848
pay_100048,cust_1038,21052,INR,wallet,success,,2,2026-08-07T20:28:55.935848
pay_100049,cust_1006,35307,INR,upi,failed,insufficient_funds,0,2026-08-28T16:23:55.935848
pay_100050,cust_1026,39496,INR,card,success,,2,2026-08-16T06:36:55.935848
pay_100051,cust_1003,16635,INR,card,pending,network_timeout,1,2026-09-01T15:04:55.935848
pay_100052,cust_1034,43581,INR,netbanking,pending,network_timeout,1,2026-08-31T07:04:55.935848
pay_100053,cust_1026,13886,INR,upi,failed,bank_declined,2,2026-08-17T15:49:55.935848
pay_100054,cust_1049,42803,INR,card,failed,card_expired,0,2026-08-19T23:02:55.935848
pay_100055,cust_1007,30534,INR,card,pending,network_timeout,2,2026-08-31T04:38:55.935848
pay_100056,cust_1009,14469,INR,netbanking,pending,network_timeout,0,2026-08-17T15:22:55.935848
pay_100057,cust_1029,16509,INR,netbanking,failed,network_timeout,2,2026-08-12T18:00:55.935848
pay_100058,cust_1043,43358,INR,netbanking,pending,network_timeout,2,2026-08-05T22:14:55.935848
pay_100059,cust_1007,7288,INR,upi,failed,network_timeout,1,2026-08-10T19:46:55.935848
pay_100060,cust_1046,18965,INR,netbanking,pending,network_timeout,0,2026-08-15T03:45:55.935848
pay_100061,cust_1017,45555,INR,card,failed,limit_exceeded,0,2026-08-27T19:18:55.935848
pay_100062,cust_1001,42068,INR,netbanking,failed,network_timeout,0,2026-08-07T13:51:55.935848
pay_100063,cust_1036,42253,INR,wallet,failed,bank_declined,2,2026-08-25T16:18:55.935848
pay_100064,cust_1045,1133,INR,upi,success,,2,2026-08-08T23:53:55.935848
pay_100065,cust_1010,2861,INR,wallet,failed,limit_exceeded,0,2026-08-30T17:12:55.935848
pay_100066,cust_1023,3241,INR,upi,failed,network_timeout,2,2026-08-07T09:16:55.935848
pay_100067,cust_1050,16853,INR,wallet,success,,2,2026-08-21T16:00:55.935848
pay_100068,cust_1012,49617,INR,wallet,failed,bank_declined,0,2026-08-12T23:11:55.935848
pay_100069,cust_1018,12254,INR,upi,failed,card_expired,2,2026-08-16T20:45:55.935848
pay_100070,cust_1015,7584,INR,upi,failed,insufficient_funds,1,2026-08-26T23:49:55.935848
pay_100071,cust_1002,23415,INR,upi,failed,bank_declined,1,2026-08-15T17:11:55.935848
pay_100072,cust_1023,22012,INR,wallet,failed,insufficient_funds,2,2026-08-18T06:34:55.935848
pay_100073,cust_1017,35641,INR,upi,failed,insufficient_funds,2,2026-08-10T19:41:55.935848
pay_100074,cust_1039,17897,INR,wallet,success,,1,2026-08-10T12:06:55.935848
pay_100075,cust_1033,48245,INR,card,failed,card_expired,1,2026-09-02T03:50:55.935848
pay_100076,cust_1046,38287,INR,wallet,failed,network_timeout,0,2026-08-07T14:10:55.935848
pay_100077,cust_1024,34573,INR,wallet,pending,network_timeout,0,2026-08-14T12:54:55.935848
pay_100078,cust_1043,44031,INR,card,failed,limit_exceeded,2,2026-08-19T20:34:55.935848
pay_100079,cust_1043,20181,INR,wallet,pending,network_timeout,1,2026-08-19T15:31:55.935848
pay_100080,cust_1013,26871,INR,wallet,failed,limit_exceeded,2,2026-08-11T08:43:55.935848
pay_100081,cust_1020,25347,INR,wallet,failed,limit_exceeded,2,2026-08-31T11:18:55.935848
pay_100082,cust_1028,526,INR,netbanking,failed,network_timeout,1,2026-08-15T03:16:55.935848
pay_100083,cust_1033,29452,INR,wallet,failed,unknown,2,2026-08-15T07:07:55.935848
pay_100084,cust_1033,11620,INR,netbanking,success,,0,2026-08-18T11:40:55.935848
pay_100085,cust_1015,49726,INR,upi,failed,unknown,0,2026-08-19T16:45:55.935848
pay_100086,cust_1031,2100,INR,card,success,,1,2026-08-16T17:08:55.935848
pay_100087,cust_1046,27660,INR,wallet,pending,network_timeout,1,2026-08-14T10:04:55.935848
pay_100088,cust_1045,26691,INR,card,failed,bank_declined,0,2026-09-04T10:17:55.935848
pay_100089,cust_1030,28362,INR,card,failed,bank_declined,2,2026-08-29T03:26:55.935848
pay_100090,cust_1009,16831,INR,wallet,success,,2,2026-08-26T08:16:55.935848
pay_100091,cust_1021,35308,INR,wallet,pending,network_timeout,2,2026-09-01T16:05:55.935848
pay_100092,cust_1036,47638,INR,wallet,pending,network_timeout,0,2026-08-24T23:48:55.935848
pay_100093,cust_1049,49236,INR,upi,failed,card_expired,2,2026-08-17T08:48:55.935848
pay_100094,cust_1041,18673,INR,upi,pending,network_timeout,1,2026-08-27T15:00:55.935848
pay_100095,cust_1016,29327,INR,netbanking,success,,1,2026-08-18T13:47:55.935848
pay_100096,cust_1009,21452,INR,upi,pending,network_timeout,0,2026-08-09T05:42:55.935848
pay_100097,cust_1005,25602,INR,wallet,failed,unknown,1,2026-08-15T07:23:55.935848
pay_100098,cust_1027,22184,INR,card,pending,network_timeout,0,2026-08-26T18:36:55.935848
pay_100099,cust_1049,28034,INR,wallet,failed,limit_exceeded,1,2026-08-06T11:02:55.935848
pay_100100,cust_1027,886,INR,upi,failed,network_timeout,1,2026-08-23T07:40:55.935848
pay_100101,cust_1002,14880,INR,wallet,failed,card_expired,1,2026-08-27T16:09:55.935848
pay_100102,cust_1030,44335,INR,upi,failed,unknown,2,2026-08-13T01:58:55.935848
pay_100103,cust_1038,35504,INR,card,success,,0,2026-08-23T12:04:55.935848
pay_100104,cust_1012,42623,INR,card,failed,bank_declined,1,2026-08-26T13:59:55.935848
pay_100105,cust_1021,25344,INR,netbanking,failed,bank_declined,1,2026-08-26T06:21:55.935848
pay_100106,cust_1031,18735,INR,card,failed,network_timeout,2,2026-08-09T07:09:55.935848
pay_100107,cust_1015,35851,INR,card,success,,2,2026-08-21T11:57:55.935848
pay_100108,cust_1013,3138,INR,card,success,,2,2026-08-16T19:47:55.935848
pay_100109,cust_1043,10486,INR,card,failed,bank_declined,2,2026-08-27T02:57:55.935848
pay_100110,cust_1050,14784,INR,netbanking,failed,unknown,0,2026-08-17T05:35:55.935848
pay_100111,cust_1050,40207,INR,upi,pending,network_timeout,1,2026-08-10T18:48:55.935848
pay_100112,cust_1020,7584,INR,wallet,pending,network_timeout,1,2026-08-06T17:44:55.935848
pay_100113,cust_1045,47359,INR,upi,failed,insufficient_funds,0,2026-09-01T12:25:55.935848
pay_100114,cust_1008,46191,INR,card,failed,unknown,1,2026-09-01T21:30:55.935848
pay_100115,cust_1005,35413,INR,netbanking,failed,unknown,0,2026-08-22T10:27:55.935848
pay_100116,cust_1024,28028,INR,wallet,failed,insufficient_funds,2,2026-08-25T07:13:55.935848
pay_100117,cust_1042,10526,INR,netbanking,failed,bank_declined,2,2026-08-29T07:35:55.935848
pay_100118,cust_1047,35769,INR,netbanking,failed,card_expired,1,2026-08-25T09:27:55.935848
pay_100119,cust_1029,16588,INR,upi,success,,1,2026-08-18T06:21:55.935848
pay_100120,cust_1022,37845,INR,card,pending,network_timeout,1,2026-08-22T19:39:55.935848
pay_100121,cust_1023,21800,INR,netbanking,failed,card_expired,1,2026-08-15T05:23:55.935848
pay_100122,cust_1036,18827,INR,card,pending,network_timeout,2,2026-08-18T03:27:55.935848
pay_100123,cust_1047,13021,INR,wallet,success,,1,2026-08-16T13:19:55.935848
pay_100124,cust_1042,36884,INR,wallet,failed,unknown,1,2026-08-27T05:43:55.935848
pay_100125,cust_1015,1630,INR,wallet,success,,2,2026-08-18T23:05:55.935848
pay_100126,cust_1024,16445,INR,wallet,failed,unknown,2,2026-09-01T00:54:55.935848
pay_100127,cust_1022,35294,INR,netbanking,failed,card_expired,2,2026-08-30T14:52:55.935848
pay_100128,cust_1015,30236,INR,card,failed,network_timeout,2,2026-08-17T00:17:55.935848
pay_100129,cust_1049,13121,INR,upi,failed,insufficient_funds,0,2026-08-29T23:00:55.935848
pay_100130,cust_1049,14680,INR,netbanking,failed,network_timeout,0,2026-09-01T09:41:55.935848
pay_100131,cust_1012,13221,INR,netbanking,failed,bank_declined,0,2026-08-21T23:52:55.935848
pay_100132,cust_1018,46900,INR,card,pending,network_timeout,0,2026-08-11T07:57:55.935848
pay_100133,cust_1041,36764,INR,wallet,failed,unknown,0,2026-08-11T07:37:55.935848
pay_100134,cust_1031,1303,INR,wallet,pending,network_timeout,1,2026-08-18T12:16:55.935848
pay_100135,cust_1031,22828,INR,card,failed,insufficient_funds,0,2026-08-17T01:28:55.935848
pay_100136,cust_1041,26760,INR,card,failed,insufficient_funds,0,2026-08-31T19:57:55.935848
pay_100137,cust_1006,10277,INR,upi,pending,network_timeout,0,2026-08-19T09:34:55.935848
pay_100138,cust_1040,37073,INR,upi,failed,limit_exceeded,2,2026-09-01T16:49:55.935848
pay_100139,cust_1038,25428,INR,wallet,failed,card_expired,1,2026-08-19T02:29:55.935848
pay_100140,cust_1040,37765,INR,card,pending,network_timeout,0,2026-08-08T07:29:55.935848
pay_100141,cust_1011,41493,INR,upi,failed,network_timeout,0,2026-08-09T06:22:55.935848
pay_100142,cust_1001,36675,INR,wallet,success,,1,2026-08-12T16:40:55.935848
pay_100143,cust_1019,45678,INR,card,pending,network_timeout,0,2026-08-26T22:58:55.935848
pay_100144,cust_1005,19381,INR,upi,failed,unknown,1,2026-08-26T05:37:55.935848
pay_100145,cust_1028,41463,INR,card,pending,network_timeout,2,2026-08-14T13:46:55.935848
pay_100146,cust_1005,15233,INR,card,failed,network_timeout,0,2026-08-12T01:03:55.935848
pay_100147,cust_1019,20659,INR,wallet,pending,network_timeout,0,2026-08-31T11:25:55.935848
pay_100148,cust_1018,31216,INR,wallet,failed,unknown,1,2026-08-23T21:20:55.935848
pay_100149,cust_1028,5771,INR,netbanking,pending,network_timeout,2,2026-08-07T09:14:55.935848
